Year;Rank;School;Location;VCE_Studies;VCE_Stsnts;VCE_Compl_%;Median_VCE_Score;VCE_40+_%;VCEs_40+;VCEs_48+;VCEs_50;Stdnts_40+;Stdnts_48+;Stdnts_50
2012;305;Mallacoota P-12 College;Mallacoota;12;17;100;25;2,6;1;0;0;1;0;0
2012;306;Manangatang P-12 College;Manangatang;15;19;100;34;9,5;5;0;0;3;0;0
2012;307;Mansfield Secondary College;Mansfield;51;92;100;29;2,7;7;0;0;7;0;0
2012;308;Maranatha Christian School;Endeavour Hills;39;158;100;30;7,2;32;1;1;22;1;1
2012;309;Marcellin College;Bulleen;45;308;100;31;9,6;98;14;7;54;12;6
2012;310;Marian College Ararat;Ararat;24;88;98;28;1;3;0;0;1;0;0
2012;311;Marian College Myrtleford;Myrtleford;17;34;100;28;0;0;0;0;0;0;0
2012;312;Marian College Sunshine West;Sunshine West;38;156;98;29;4,7;24;2;0;15;2;0
2012;313;Maribyrnong Secondary College;Maribyrnong;34;191;98;28;2,1;14;1;0;11;1;0
2012;314;Marist Sion College;Warragul;37;174;99;31;9,3;53;1;0;34;1;0
2012;315;Mary MacKillop Catholic College;Leongatha;34;100;100;29;5;14;0;0;9;0;0
2012;316;Maryborough Education Centre;Maryborough;40;113;95;25;0,7;2;0;0;2;0;0
2012;317;Marymede Catholic College;South Morang;30;91;100;30;2,2;8;1;0;7;1;0
2012;318;Mater Christi College;Belgrave;43;235;99;31;8,5;62;3;2;45;3;2
2012;319;Matthew Flinders Girls Secondary College;Geelong;61;173;99;29;5;29;0;0;23;0;0
2012;320;Mazenod College;Mulgrave;45;352;100;33;14;149;8;5;92;7;5
2012;321;McClelland Secondary College;Frankston;40;137;95;30;5;16;1;0;12;1;0
2012;322;McGuire College;Shepparton;48;85;94;23;0,8;1;0;0;1;0;0
2012;323;McKinnon Secondary College;McKinnon;51;401;100;32;15,4;194;25;7;122;21;6
2012;324;Melbourne Chinese Ethnic School;Wantirna;;;;;;1;1;0;1;1;0
2012;325;Melbourne Girls College;Richmond;57;367;98;34;15,3;146;5;2;96;5;2
2012;326;Melbourne Girls Grammar;South Yarra;41;207;100;35;24,5;164;12;3;90;10;3
2012;327;Melbourne Grammar School;Melbourne;39;389;100;35;24,6;279;39;16;169;26;12
2012;328;Melbourne High School;South Yarra;59;709;100;37;35,6;689;78;31;339;55;26
2012;329;Melbourne International School of Japanese;Oakleigh South;;;;;;1;0;0;1;0;0
2012;330;Melbourne Rudolf Steiner School;Warranwood;20;67;100;32;6,4;14;0;0;9;0;0
2012;331;Melbourne Senior Secondary College;Melbourne;11;49;100;19;0;0;0;0;0;0;0
2012;332;Melbourne Swedish Community School Association;Toorak;;;;;;1;0;0;1;0;0
2012;333;Melton Christian College;Brookfield;21;29;100;29;3,3;3;0;0;3;0;0
2012;334;Melton Secondary College;Melton;40;105;91;24;0,3;1;0;0;1;0;0
2012;335;Mentone Girls Grammar School;Mentone;36;96;100;36;27,8;67;9;5;42;7;5
2012;336;Mentone Girls Secondary College;Mentone;58;282;100;30;7,1;60;2;0;42;2;0
2012;337;Mentone Grammar School;Mentone;49;278;100;33;11,6;91;5;1;59;5;1
2012;338;Mercy College;Coburg;37;156;99;29;5,3;28;2;1;19;2;1
2012;339;Mercy Regional College;Camperdown;34;126;100;29;3,7;12;0;0;8;0;0
2012;340;Merinda Park Learning Centre;Cranbourne North;4;0;0;0;0;0;0;0;0;0;0
2012;341;Methodist Ladies College;Kew;51;415;100;35;24,4;333;39;18;191;28;12
2012;342;Mildura Senior College;Mildura;60;563;97;28;2,8;42;4;4;29;2;2
2012;343;Mill Park Secondary College;Epping;61;403;94;27;2,5;32;0;0;29;0;0
2012;344;Minaret College Springvale;Springvale;25;120;100;28;3,4;11;3;1;7;2;1
2012;345;Mirboo North Secondary College;Mirboo North;24;71;100;31;2,5;4;0;0;3;0;0
2012;346;Monbulk College;Monbulk;30;107;98;31;10,3;34;3;1;19;3;1
2012;347;Monivae College;Hamilton;56;133;100;29;3,1;15;0;0;9;0;0
2012;348;Monterey Secondary College;Frankston North;28;55;86;21;0;0;0;0;0;0;0
2012;349;Montmorency Secondary College;Montmorency;38;151;98;28;1,2;6;1;0;5;1;0
2012;350;Mooroolbark College;Mooroolbark;45;146;96;29;3,4;15;2;1;7;1;1
2012;351;Mooroopna Secondary College;Mooroopna;38;72;88;27;2,5;6;0;0;3;0;0
2012;352;Mordialloc College;Mordialloc;43;119;97;28;3,8;14;0;0;12;0;0
2012;353;Mornington Secondary College;Mornington;52;159;98;29;1,3;6;0;0;6;0;0
2012;354;Morrison House;Mount Evelyn;5;0;0;0;0;0;0;0;0;0;0
2012;355;Mortlake College;Mortlake;26;30;100;32;6;4;0;0;3;0;0
2012;356;Mount Alexander 7-12 College;Flemington;15;37;100;25;3,8;3;1;0;2;1;0
2012;357;Mount Beauty Secondary College;Mount Beauty;24;37;100;28;2,9;3;0;0;3;0;0
2012;358;Mount Clear College;Mount Clear;48;186;90;26;2,1;10;0;0;6;0;0
2012;359;Mount Eliza Secondary College;Mount Eliza;69;194;97;28;4;14;0;0;10;0;0
2012;360;Mount Erin College;Frankston South;46;113;98;27;0;0;0;0;0;0;0
2012;361;Mount Evelyn Christian School;Mount Evelyn;36;69;100;30;10,7;21;1;1;8;1;1
2012;362;Mount Hira College;Keysborough;9;29;100;29;5;4;0;0;3;0;0
2012;363;Mount Lilydale Mercy College;Lilydale;53;306;98;30;7,6;76;7;2;46;6;2
2012;364;Mount Rowan Secondary College;Wendouree;55;210;90;23;0,7;3;0;0;3;0;0
2012;365;Mount Scopus Memorial College;Burwood;36;204;100;37;34;181;19;9;92;14;9
2012;366;Mount St Joseph Girls College;Altona;51;185;99;31;5,6;38;2;1;26;2;1
2012;367;Mount Waverley Secondary College;Mount Waverley;51;395;98;32;10,5;137;9;4;85;8;3
2012;368;Mountain District Christian School;Monbulk;17;29;100;31;4,4;3;0;0;3;0;0
2012;369;Mountain District Learning Centre;Ferntree Gully;5;5;60;19;0;0;0;0;0;0;0
2012;370;Mowbray College Melton;Melton;;;;;;23;0;0;16;0;0
2012;371;Mowbray College Town Centre;Caroline Springs;;;;;;8;0;0;7;0;0
2012;372;Mullauna College;Mitcham;43;110;96;28;5,2;20;0;0;14;0;0
2012;373;Murrayville Community College;Murrayville;16;13;100;24;0;0;0;0;0;0;0
2012;374;Murtoa P-12 College;Murtoa;22;37;100;29;3,9;5;0;0;4;0;0
2012;375;Myrtleford P-12 College;Myrtleford;16;18;100;25;0;0;0;0;0;0;0
2012;376;Nagle College;Bairnsdale;41;165;99;30;5,7;28;1;0;19;1;0
2012;377;Narre Community Learning Centre;Narre Warren;4;0;0;0;0;0;0;0;0;0;0
2012;378;Narre Warren South P-12 College;Narre Warren South;46;149;96;31;4,7;14;1;1;9;1;1
2012;379;Nathalia Secondary College;Nathalia;20;17;92;25;0;1;0;0;1;0;0
2012;380;Nazareth College;Noble Park North;48;166;99;28;4;19;0;0;8;0;0
