Year;Rank;School;Location;Median_VCE_Score
2012;277;Lalor North Secondary College;Epping;25
2012;278;Lalor Secondary College;Lalor;27
2012;279;Lara Secondary College;Lara;27
2012;280;Lauriston Girls School;Armadale;37
2012;281;Lavalla Catholic College;Traralgon;29
2012;282;Lavers Hill K-12 College;Lavers Hill;0
2012;283;Laverton P-12 College;Laverton;22
2012;284;Leibler Yavneh College;Elsternwick;37
2012;285;Leongatha Secondary College;Leongatha;28
2012;286;Lighthouse Christian College;Keysborough;30
2012;287;Lilydale Adventist Academy;Lilydale;30
2012;288;Lilydale Heights College;Lilydale;26
2012;289;Lilydale High School;Lilydale;28
2012;290;Little Yarra Steiner School;Yarra Junction;0
2012;291;Loreto College;Ballarat;32
2012;292;Loreto Mandeville Hall;Toorak;35
2012;293;Lorne-Aireys Inlet P-12 College;Lorne;28
2012;294;Lowanna College;Newborough;27
2012;295;Lowther Hall Anglican Grammar School;Essendon;36
2012;296;Loyola College;Watsonia;30
2012;297;Luther College;Croydon Hills;33
2012;298;Lynall Hall Community School;Richmond;21
2012;299;Lyndale Secondary College;Dandenong North;27
2012;300;Lyndhurst Secondary College;Cranbourne;23
2012;301;MacKillop Catholic Regional College;Werribee;31
2012;302;Macleod College;Macleod;27
2012;303;Macrobertson Girls High School;Melbourne;38
2012;304;Maffra Secondary College;Maffra;28
2012;305;Mallacoota P-12 College;Mallacoota;25
2012;306;Manangatang P-12 College;Manangatang;34
2012;307;Mansfield Secondary College;Mansfield;29
2012;308;Maranatha Christian School;Endeavour Hills;30
2012;309;Marcellin College;Bulleen;31
2012;310;Marian College Ararat;Ararat;28
2012;311;Marian College Myrtleford;Myrtleford;28
2012;312;Marian College Sunshine West;Sunshine West;29
2012;313;Maribyrnong Secondary College;Maribyrnong;28
2012;314;Marist Sion College;Warragul;31
2012;315;Mary MacKillop Catholic College;Leongatha;29
2012;316;Maryborough Education Centre;Maryborough;25
2012;317;Marymede Catholic College;South Morang;30
2012;318;Mater Christi College;Belgrave;31
2012;319;Matthew Flinders Girls Secondary College;Geelong;29
2012;320;Mazenod College;Mulgrave;33
2012;321;McClelland Secondary College;Frankston;30
2012;322;McGuire College;Shepparton;23
2012;323;McKinnon Secondary College;McKinnon;32
2012;324;Melbourne Chinese Ethnic School;Wantirna;N/A
2012;325;Melbourne Girls College;Richmond;34
2012;326;Melbourne Girls Grammar;South Yarra;35
2012;327;Melbourne Grammar School;Melbourne;35
2012;328;Melbourne High School;South Yarra;37
2012;329;Melbourne International School of Japanese;Oakleigh South;N/A
2012;330;Melbourne Rudolf Steiner School;Warranwood;32
2012;331;Melbourne Senior Secondary College;Melbourne;19
2012;332;Melbourne Swedish Community School Association;Toorak;N/A
2012;333;Melton Christian College;Brookfield;29
2012;334;Melton Secondary College;Melton;24
2012;335;Mentone Girls Grammar School;Mentone;36
2012;336;Mentone Girls Secondary College;Mentone;30
2012;337;Mentone Grammar School;Mentone;33
2012;338;Mercy College;Coburg;29
2012;339;Mercy Regional College;Camperdown;29
2012;340;Merinda Park Learning Centre;Cranbourne North;0
2012;341;Methodist Ladies College;Kew;35
2012;342;Mildura Senior College;Mildura;28
2012;343;Mill Park Secondary College;Epping;27
2012;344;Minaret College Springvale;Springvale;28
2012;345;Mirboo North Secondary College;Mirboo North;31
2012;346;Monbulk College;Monbulk;31
2012;347;Monivae College;Hamilton;29
2012;348;Monterey Secondary College;Frankston North;21
2012;349;Montmorency Secondary College;Montmorency;28
2012;350;Mooroolbark College;Mooroolbark;29
2012;351;Mooroopna Secondary College;Mooroopna;27
2012;352;Mordialloc College;Mordialloc;28
2012;353;Mornington Secondary College;Mornington;29
2012;354;Morrison House;Mount Evelyn;0
2012;355;Mortlake College;Mortlake;32
2012;356;Mount Alexander 7-12 College;Flemington;25
2012;357;Mount Beauty Secondary College;Mount Beauty;28
2012;358;Mount Clear College;Mount Clear;26
2012;359;Mount Eliza Secondary College;Mount Eliza;28
2012;360;Mount Erin College;Frankston South;27
2012;361;Mount Evelyn Christian School;Mount Evelyn;30
2012;362;Mount Hira College;Keysborough;29
2012;363;Mount Lilydale Mercy College;Lilydale;30
2012;364;Mount Rowan Secondary College;Wendouree;23
2012;365;Mount Scopus Memorial College;Burwood;37
2012;366;Mount St Joseph Girls College;Altona;31
2012;367;Mount Waverley Secondary College;Mount Waverley;32
2012;368;Mountain District Christian School;Monbulk;31
