Year;Rank;School;Location;Median_VCE_Score
2015;327;Melba Secondary College;Croydon;25
2015;328;Melbourne City Mission;South Melbourne;0
2015;329;Melbourne Girls College;Richmond;33
2015;330;Melbourne Girls Grammar;South Yarra;36
2015;331;Melbourne Grammar School;Melbourne;34
2015;332;Melbourne High School;South Yarra;37
2015;333;Melbourne International School of Japanese;Oakleigh South;N/A
2015;334;Melbourne Polytechnic;Preston;0
2015;335;Melbourne Rudolf Steiner School;Warranwood;30
2015;336;Melbourne Swedish Community School Association;Toorak;N/A
2015;337;Melton Christian College;Brookfield;30
2015;338;Melton Secondary College;Melton;24
2015;339;Mentone Girls Grammar School;Mentone;36
2015;340;Mentone Girls Secondary College;Mentone;31
2015;341;Mentone Grammar School;Mentone;34
2015;342;Mercy College;Coburg;29
2015;343;Mercy Regional College;Camperdown;28
2015;344;Merinda Park Learning Centre;Cranbourne North;0
2015;345;Methodist Ladies College;Kew;35
2015;346;Michelle Rae School of Dance;Mount Waverley;N/A
2015;347;Mildura Senior College;Mildura;28
2015;348;Mill Park Secondary College;Epping;25
2015;349;Minaret College Springvale;Springvale;29
2015;350;Ministry of Dance;North Melbourne;N/A
2015;351;Mirboo North Secondary College;Mirboo North;28
2015;352;Monbulk College;Monbulk;27
2015;353;Monivae College;Hamilton;29
2015;354;Monterey Secondary College;Frankston North;22
2015;355;Montmorency Secondary College;Montmorency;30
2015;356;Mooroolbark College;Mooroolbark;30
2015;357;Mooroopna Secondary College;Mooroopna;26
2015;358;Mordialloc College;Mordialloc;27
2015;359;Mornington Secondary College;Mornington;27
2015;360;Mortlake College;Mortlake;30
2015;361;Mount Alexander 7-12 College;Flemington;26
2015;362;Mount Beauty Secondary College;Mount Beauty;29
2015;363;Mount Clear College;Mount Clear;24
2015;364;Mount Eliza Secondary College;Mount Eliza;28
2015;365;Mount Erin College;Frankston South;30
2015;366;Mount Evelyn Christian School;Mount Evelyn;31
2015;367;Mount Hira College;Keysborough;28
2015;368;Mount Lilydale Mercy College;Lilydale;30
2015;369;Mount Ridley P-12 College;Craigieburn;24
2015;370;Mount Rowan Secondary College;Wendouree;24
2015;371;Mount Scopus Memorial College;Burwood;37
2015;372;Mount St Joseph Girls College;Altona;30
2015;373;Mount Waverley Secondary College;Mount Waverley;31
2015;374;Mountain District Christian School;Monbulk;28
2015;375;Mountain District Learning Centre;Ferntree Gully;22
2015;376;Mullauna College;Mitcham;28
2015;377;Murrayville Community College;Murrayville;29
2015;378;Murtoa P-12 College;Murtoa;32
2015;379;Myrtleford P-12 College;Myrtleford;25
2015;380;Nagle College;Bairnsdale;28
2015;381;Narre Community Learning Centre;Narre Warren;0
2015;382;Narre Warren South P-12 College;Narre Warren South;31
2015;383;Nathalia Secondary College;Nathalia;25
2015;384;Nazareth College;Noble Park North;30
2015;385;Neerim District Secondary College;Neerim South;27
2015;386;Nestor Greek College Brunswick;Brunswick;N/A
2015;387;New Century Chinese Language School;Burwood East;N/A
2015;388;New Chinese Language and Culture School Box Hill;Box Hill;N/A
2015;389;Newcomb Secondary College;Newcomb;23
2015;390;Newhaven College;Rhyll;30
2015;391;Nhill College;Nhill;30
2015;392;Noble Park Secondary College;Noble Park;24
2015;393;North Geelong Secondary College;Geelong North;24
2015;394;Northcote High School;Northcote;31
2015;395;Northern Bay P-12 College;Corio;22
2015;396;Northern College of Arts and Technology;Preston;24
2015;397;Northside Christian College;Bundoora;29
2015;398;Norwood Secondary College;Ringwood;28
2015;399;Nossal High School;Berwick;36
2015;400;Notre Dame College;Shepparton;28
2015;401;Numurkah Secondary College;Numurkah;24
2015;402;Nunawading Christian College;Nunawading;31
2015;403;Oakleigh Grammar;Oakleigh;31
2015;404;Oakwood School;Caulfield North;0
2015;405;Oberon High School;Armstrong Creek;28
2015;406;Omiros College Oakleigh South;Oakleigh South;N/A
2015;407;Orbost Secondary College;Orbost;28
2015;408;Our Lady of Mercy College;Heidelberg;33
2015;409;Our Lady of Sacred Heart College;Bentleigh;32
2015;410;Our Lady of Sion College;Box Hill;33
2015;411;Ouyen Secondary College;Ouyen;29
2015;412;Overnewton Anglican College;Keilor;31
2015;413;Oxley Christian College;Chirnside Park;31
2015;414;Ozford College;Melbourne;21
2015;415;Padua College;Mornington;29
2015;416;Pakenham Secondary College;Pakenham;26
2015;417;Parade College;Bundoora;31
2015;418;Parish of St Vasilios Brunswick Greek Language School;Brunswick;N/A
2015;419;Parkdale Secondary College;Mordialloc;28
2015;420;Pascoe Vale Girls Secondary College;Pascoe Vale;28
2015;421;Patterson River Secondary College;Seaford;29
2015;422;Peninsula Grammar;Mount Eliza;33
2015;423;Peninsula Grammar Nanjing Foreign Language School;Nanjing, China;N/A
2015;424;Peninsula Grammar Pudong Foreign Language School;Shanghai, China;N/A
2015;425;Peninsula Grammar Zhengzhou Foreign Language School;Zhengzhou, China;N/A
2015;426;Peninsula Training and Employment;Rosebud;0
2015;427;Penleigh and Essendon Grammar School;Keilor East;36
2015;428;Penola Catholic College;Broadmeadows;28
2015;429;Peter Lalor Secondary College;Lalor;0
2015;430;Peter Wallace Dance;Pascoe Vale;N/A
2015;431;Philippine Language School of Victoria;Braybrook;N/A
2015;432;Phoenix P-12 Community College;Sebastopol;27
2015;433;Pines Learning;Doncaster East;0
2015;434;Plenty Valley Christian College;Doreen;31
2015;435;Point Cook Senior Secondary College;Point Cook;25
2015;436;Portland Secondary College;Portland;26
2015;437;Prahran Community Learning Centre;Prahran;0
2015;438;Presbyterian Ladies College;Burwood;36
2015;439;Presentation College;Windsor;30
2015;440;Preshil The Margaret Lyttle Memorial School;Kew;31
2015;441;Preston Reservoir Adult Community Education;Reservoir;0
2015;442;Princes Hill Secondary College;Princes Hill;31
2015;443;Rainbow P-12 College;Rainbow;26
2015;444;Red Cliffs Secondary College;Red Cliffs;25
2015;445;Reservoir High School;Reservoir;24
2015;446;Ringwood Secondary College;Ringwood;31
2015;447;RMIT TAFE;Melbourne;26
2015;448;Robinvale College;Robinvale;23
2015;449;Rochester Secondary College;Rochester;28
2015;450;Rosebud Secondary College;Rosebud;29
2015;451;Rosehill Secondary College;Niddrie;30
2015;452;Rowville Secondary College;Rowville;26
2015;453;Roxburgh College;Roxburgh Park;24
2015;454;Rushworth P-12 College;Rushworth;25
2015;455;Rutherglen High School;Rutherglen;26
2015;456;Ruyton Girls School;Kew;35
2015;457;Sacre Coeur;Glen Iris;35
2015;458;Sacred Heart College Geelong;Newtown;33
2015;459;Sacred Heart College Kyneton;Kyneton;30
2015;460;Sacred Heart College Yarrawonga;Yarrawonga;29
2015;461;Sacred Heart Girls College;Hughesdale;33
2015;462;Saint Catherines Greek School;Malvern East;N/A
2015;463;Saint Ignatius College;Drysdale;31
2015;464;Sale College;Sale;26
2015;465;Salesian College Chadstone;Chadstone;31
2015;466;Salesian College Sunbury;Sunbury;30
2015;467;Sandringham College;Sandringham;28
2015;468;Santa Maria College;Northcote;31
2015;469;Scoresby Secondary College;Scoresby;23
2015;470;Scotch College;Hawthorn;35
2015;471;Seymour College;Seymour;26
2015;472;Shelford Girls Grammar;Caulfield;37
2015;473;Shepparton Adult and Community Education;Shepparton;0
2015;474;Shepparton Christian College;Shepparton;30
2015;475;Shepparton High School;Shepparton;25
2015;476;Sherbrooke Community School;Sassafras;27
2015;477;Siena College;Camberwell;34
2015;478;Simonds Catholic College;Fitzroy North;29
2015;479;Sirius College Broadmeadows Campus;Broadmeadows;31
2015;480;Sirius College Dandenong Campus;Keysborough;30
2015;481;Sirius College Meadow Fair Campus;Broadmeadows;28
2015;482;Skillsplus;Frankston;0
2015;483;Somerville Secondary College;Somerville;22
2015;484;South Gippsland Secondary College;Foster;29
2015;485;South Oakleigh Secondary College;Oakleigh South;28
2015;486;South West Institute of TAFE;Warrnambool;19
2015;487;Southern Grampians Adult Education;Hamilton;0
2015;488;Springvale Indo-Chinese Ethnic School Inc.;Springvale South;N/A
2015;489;St Albans Secondary College;St Albans;30
2015;490;St Aloysius College;North Melbourne;30
2015;491;St Andrews Christian College;Wantirna South;31
2015;492;St Arnaud Secondary College;St Arnaud;27
2015;493;St Augustines College;Kyabram;29
2015;494;St Bedes College;Mentone;31
2015;495;St Bernards College;Essendon;32
2015;496;St Brigids College;Horsham;30
2015;497;St Catherines School;Toorak;36
2015;498;St Columbas College;Essendon;32
2015;499;St Francis Xavier College;Beaconsfield;31
2015;500;St Helena Secondary College;Eltham North;30
2015;501;St Johns Greek Orthodox College;Preston;33
2015;502;St Johns Regional College;Dandenong;27
2015;503;St Josephs College Echuca;Echuca;28
2015;504;St Josephs College Ferntree Gully;Ferntree Gully;30
2015;505;St Josephs College Geelong;Newtown;32
2015;506;St Josephs College Mildura;Mildura;29
2015;507;St Kevins College;Toorak;36
2015;508;St Leonards College;Brighton East;33
2015;509;St Margarets Berwick Grammar Berwick Campus;Berwick;35
2015;510;St Margarets Berwick Grammar Officer Campus;Officer;32
2015;511;St Mary MacKillop College;Swan Hill;31
2015;512;St Mary of the Angels College;Nathalia;29
2015;513;St Marys Coptic Orthodox College;Coolaroo;27
2015;514;St Michaels Grammar School;St Kilda;34
2015;515;St Monicas College;Epping;30
2015;516;St Patricks College;Ballarat;30
2015;517;St Pauls Anglican Grammar School;Warragul;32
2015;518;St Peters College;Cranbourne;28
2015;519;St Thomas Aquinas College;Tynong;29
2015;520;Star of the Sea College;Brighton;33
2015;521;Staughton College;Melton South;24
2015;522;Stawell Secondary College;Stawell;28
2015;523;Stonnington School of Dance;Murrumbeena;N/A
2015;524;Stotts Colleges Melbourne;Melbourne;21
2015;525;Strathcona Girls Grammar School;Canterbury;36
2015;526;Strathmore Secondary College;Strathmore;31
2015;527;Sunbury College;Sunbury;27
2015;528;Sunbury Downs Secondary College;Sunbury;30
2015;529;Sunraysia Institute of TAFE;Mildura;0
2015;530;Sunshine College;Sunshine West;26
2015;531;Surf Coast Secondary College;Torquay;26
2015;532;Suzanne Cory High School;Werribee;34
2015;533;Swan Hill College;Swan Hill;26
2015;534;Swifts Creek P-12 School;Swifts Creek;31
2015;535;Swinburne Senior Secondary College;Hawthorn;27
2015;536;Swinburne University of Technology TAFE Croydon;Croydon;0
2015;537;Sydney Road Community School;Brunswick;24
2015;538;Tallangatta Secondary College;Tallangatta;28
2015;539;Tarneit Senior College;Tarneit;24
2015;540;Taylors Lakes Secondary College;Taylors Lakes;28
2015;541;Templestowe College;Templestowe Lower;26
2015;542;Terang College Secondary Campus;Terang;29
2015;543;The Centre;Wangaratta;0
2015;544;The Geelong College;Newtown;34
2015;545;The Grange P-12 College;Hoppers Crossing;23
2015;546;The Hamilton and Alexandra College;Hamilton;32
2015;547;The King David School;Armadale;35
2015;548;The Knox School;Wantirna South;31
2015;549;The Pushkin Lyceum Russian Community School;Elwood;N/A
2015;550;Thomas Carr College;Tarneit;27
2015;551;Thomas Carr College Lianyungang Foreign Language School;Lianyungang, China;N/A
2015;552;Thomas Carr College Wenzhou No 21 Middle School;Wenzhou, China;N/A
2015;553;Thomastown Secondary College;Thomastown;23
2015;554;Thornbury High School;Thornbury;28
2015;555;Timboon P-12 School;Timboon;25
2015;556;Tintern Schools Senior College;Ringwood East;33
2015;557;Toorak College;Mount Eliza;34
2015;558;Trafalgar High School;Trafalgar;27
2015;559;Training and Education Programs Australia;Hawthorn East;0
2015;560;Traralgon College;Traralgon;26
2015;561;Trinity College;Colac;29
2015;562;Trinity Grammar School;Kew;35
2015;563;Tyrrell College;Sea Lake;27
2015;564;University High School;Parkville;32
2015;565;Upper Yarra Secondary College;Yarra Junction;28
2015;566;Upwey High School;Upwey;29
2015;567;Vermont Secondary College;Vermont;31
2015;568;Victoria University of Technology TAFE Footscray;Footscray;20
2015;569;Victoria University Secondary College Brimbank Campus;St Albans;27
2015;570;Victorian College for the Deaf;Melbourne;19
2015;571;Victorian College of the Arts Secondary School;Southbank;34
2015;572;Victorian Virtual Learning Network;Bendigo;N/A
2015;573;Victory Christian College;Strathdale;29
2015;574;Victory Lutheran College;Wodonga;29
2015;575;Viewbank College;Viewbank;31
2015;576;VSL Altona North-Footscray-Sunshine;Thornbury;N/A
2015;577;VSL Box Hill-Blackburn-Doncaster;Thornbury;N/A
2015;578;VSL Collingwood-South Oakleigh-McKinnon;Thornbury;N/A
2015;579;VSL Dandenong-Hampton Park-Berwick;Thornbury;N/A
2015;580;VSL Distance Education;Thornbury;N/A
2015;581;VSL Glen Waverley-Carwatha;Thornbury;N/A
2015;582;VSL Keilor Downs-Creekside-Mildura-Taylors Lakes;Thornbury;N/A
2015;583;VSL North Geelong-Matthew Flinders-Suzanne Cory-Ballarat;Thornbury;N/A
2015;584;VSL Thomastown-Lalor-Roxburgh Park-Epping;Thornbury;N/A
2015;585;VSL University-Brunswick-John Fawkner College;Thornbury;N/A
2015;586;VSL Westall-Brentwood-Haileybury;Thornbury;N/A
2015;587;Wallan Secondary College;Wallan;24
2015;588;Wanganui Park Secondary College;Shepparton;28
2015;589;Wangaratta High School;Wangaratta;25
2015;590;Wantirna College;Wantirna;30
2015;591;Warracknabeal Secondary College;Warracknabeal;29
2015;592;Warragul Regional College;Warragul;29
2015;593;Warrandyte High School;Warrandyte;27
2015;594;Warrnambool College;Warrnambool;27
2015;595;Waverley Christian College Wantirna South;Wantirna South;33
2015;596;Wedderburn College;Wedderburn;27
2015;597;Wellington Secondary College;Mulgrave;28
2015;598;Werribee Secondary College;Werribee;30
2015;599;Werrimull P-12 School;Werrimull;30
2015;600;Wesley College Glen Waverley;Glen Waverley;32
2015;601;Wesley College St Kilda Rd;Melbourne;33
2015;602;Westall Secondary College;Clayton South;26
2015;603;Westbourne Grammar School;Truganina;33
2015;604;Western Heights College;Hamlyn Heights;22
2015;605;Western Port Secondary College;Hastings;23
2015;606;Western Senior Secondary College;West Melbourne;0
2015;607;Wheelers Hill Secondary College;Wheelers Hill;26
2015;608;Whitefriars College;Donvale;31
2015;609;Whittlesea Secondary College;Whittlesea;26
2015;610;William Angliss Institute of TAFE;Melbourne;0
2015;611;William Ruthven Secondary College;Reservoir;26
2015;612;Williamstown High School;Williamstown;30
2015;613;Wodonga Institute of TAFE;West Wodonga;0
2015;614;Wodonga Senior Secondary College;Wodonga;25
2015;615;Wonthaggi Secondary College;Wonthaggi;29
2015;616;Woodleigh School;Langwarrin South;33
2015;617;Wycheproof P-12 College;Wycheproof;34
2015;618;Wyndham Central Secondary College;Werribee;26
2015;619;Wyndham Community and Education Centre;Werribee;0
2015;620;Xavier College;Kew;33
2015;621;Xin Jin Shan Chinese Language and Culture School;Mount Waverley;N/A
2015;622;Yarra Hills Secondary College Mooroolbark;Mooroolbark;24
2015;623;Yarra Valley Community School;Yarra Junction;0
2015;624;Yarra Valley Grammar School;Ringwood;34
2015;625;Yarram Secondary College;Yarram;27
2015;626;Yarrawonga College P-12;Yarrawonga;26
2015;627;Yea High School;Yea;27
2015;628;Yeshivah College;St Kilda East;37
2015;629;Yesodei Hatorah College Secondary Campus;Ormond;41
2016;1;Academy of Mary Immaculate;Fitzroy;30
2016;2;Adass Israel School Elsternwick;Elsternwick;0
2016;3;Advance College of Education;Rosebud;0
2016;4;Aitken College;Greenvale;31
2016;5;Al Siraat College;Epping;28
2016;6;Al-Taqwa College Islamic Schools of Vic;Truganina;28
2016;7;Albert Park College;Albert Park;31
2016;8;Albury Wodonga Community College;Wodonga;0
2016;9;Alexandra Secondary College;Alexandra;26
2016;10;Alia College;Hawthorn East;27
2016;11;Alkira Secondary College;Cranbourne North;27
2016;12;Alphington Grammar School;Alphington;31
2016;13;Antonine College Senior Campus;Pascoe Vale South;27
2016;14;Apollo Bay P-12 College;Apollo Bay;32
2016;15;Aquinas College;Ringwood;31
2016;16;Ararat College;Ararat;25
2016;17;Ashwood High School;Ashwood;28
2016;18;Assumption College;Kilmore;29
2016;19;Auburn High School;Hawthorn East;27
2016;20;Australian International Academy Coburg;North Coburg;27
2016;21;Ave Maria College;Aberfeldie;31
2016;22;Avila College;Mount Waverley;32
2016;23;Bacchus Marsh College;Bacchus Marsh;26
2016;24;Bacchus Marsh Grammar;Bacchus Marsh;31
2016;25;Baimbridge College;Hamilton;25
2016;26;Bairnsdale Secondary College;Bairnsdale;26
2016;27;Balcombe Grammar School;Mount Martha;31
2016;28;Ballarat Christian College;Sebastopol;28
2016;29;Ballarat Clarendon College;Ballarat;37
2016;30;Ballarat Grammar School;Wendouree;32
2016;31;Ballarat High School;Ballarat;28
2016;32;Balmoral Community College;Balmoral;30
2016;33;Balwyn High School;Balwyn North;34
2016;34;Bayside Christian College;Langwarrin South;30
2016;35;Bayside College Paisley Campus;Newport;30
2016;36;Bayswater Secondary College;Bayswater;21
2016;37;Bayview College;Portland;28
2016;38;Beaconhills College Berwick;Berwick;32
2016;39;Beaconhills College Pakenham;Pakenham;31
2016;40;Beaufort Secondary College;Beaufort;26
2016;41;Beechworth Secondary College;Beechworth;25
2016;42;Belgrave Heights Christian School;Belgrave Heights;30
2016;43;Bellarine Secondary College;Drysdale;26
2016;44;Belmont High School;Belmont;30
2016;45;Benalla P-12 College;Benalla;24
2016;46;Bendigo Senior Secondary College;Bendigo;27
2016;47;Bendigo TAFE;Bendigo;0
2016;48;Bentleigh Secondary College;Bentleigh East;28
2016;49;Berry Street Victoria;Richmond;0
2016;50;Berwick Secondary College;Berwick;29
2016;201;Good Shepherd College;Hamilton;32
2016;202;Gordon Institute of TAFE;Geelong;21
2016;203;Goroke P-12 College;Goroke;30
2016;204;Goulburn Ovens Institute of TAFE;Shepparton;0
2016;205;Goulburn Valley Grammar School;Shepparton;35
2016;206;Greek Orthodox Community of Melbourne and Victoria;Melbourne;N/A
2016;207;Greensborough Secondary College;Greensborough;27
2016;208;Grovedale College;Grovedale;27
2016;209;Haileybury Chengdu Shude High School;Chengdu, China;N/A
2016;210;Haileybury College;Keysborough;35
2016;211;Haileybury College Tianjin Campus;Tianjin, China;N/A
2016;212;Haileybury Dili International School;Dili, Timor-Leste;N/A
2016;213;Haileybury Girls College;Keysborough;36
2016;214;Haileybury Ningbo Li Hui Li High School;Ningbo, China;N/A
2016;215;Haileybury Qingdao No 19 High School;Qingdao, China;N/A
2016;216;Haileybury Wuhan Foreign Language School;Wuhan, China;N/A
2016;217;Hallam Secondary College;Hallam;21
2016;218;Hampton Park Secondary College;Hampton Park;25
2016;219;Hawkesdale College;Hawkesdale;28
2016;220;Healesville High School;Healesville;27
2016;221;Heathdale Christian College;Werribee;29
2016;222;Heatherton Christian College;Clarinda;30
2016;223;Heathmont College;Heathmont;27
2016;224;Heritage College Officer;Officer;23
2016;225;Heywood and District Secondary College;Heywood;26
2016;226;Highvale Secondary College;Glen Waverley;31
2016;227;Highview Christian Community College;Maryborough;27
2016;228;Hillcrest Christian College;Clyde North;28
2016;229;Holmes Secondary College;Melbourne;25
2016;230;Holmesglen Institute of TAFE Holmesglen;Chadstone;0
2016;231;Holmesglen Institute of TAFE Moorabbin;Moorabbin;18
2016;232;Hopetoun P-12 College;Hopetoun;27
2016;233;Hoppers Crossing Secondary College;Hoppers Crossing;29
2016;234;Horsham College;Horsham;30
2016;235;Hume Anglican Grammar;Mickleham;27
2016;236;Hume Central Secondary College Town Park;Broadmeadows;24
2016;237;Huntingtower School;Mount Waverley;36
2016;238;Ilim College Kiewa Campus Dallas;Dallas;33
2016;239;Ilim College of Australia;Broadmeadows;29
2016;240;Iranian Cultural School;Doncaster East;N/A
2016;241;Ivanhoe Girls Grammar School;Ivanhoe;34
2016;242;Ivanhoe Grammar School Plenty;Doreen;33
2016;243;Ivanhoe Grammar School Ridgeway;Ivanhoe;33
2016;244;John Fawkner College;Fawkner;26
2016;245;John Monash Science School;Clayton;34
2016;246;John Paul College;Frankston;27
2016;247;Kambrya College;Berwick;29
2016;248;Kangan Institute of TAFE;Broadmeadows;20
2016;249;Kaniva P-12 College;Kaniva;31
2016;250;Kardinia International College;Bell Post Hill;32
2016;251;Karingal;Geelong;0
2016;252;Keilor Downs College;Keilor Downs;29
2016;253;Kensington Community High School;Kensington;0
2016;254;Kerang Christian College;Kerang;27
2016;255;Kerang Technical High School;Kerang;27
2016;256;Kew High School;Kew East;32
2016;257;Keysborough Secondary College Acacia;Keysborough;27
2016;258;Keysborough Secondary College Banksia;Springvale South;27
2016;259;Kilbreda College;Mentone;31
2016;260;Killester College;Springvale;30
2016;261;Kilvington Grammar School;Ormond;35
2016;262;Kings College;Warrnambool;30
2016;263;Kingswood College;Box Hill;32
2016;264;Kolbe Catholic College;Greenvale Lakes;26
2016;265;Koo Wee Rup Secondary College;Koo Wee Rup;29
2016;266;Koonung Secondary College;Mont Albert North;31
2016;267;Korowa Anglican Girls School;Glen Iris;36
2016;268;Korumburra Secondary College;Korumburra;26
2016;269;Kurnai College Churchill Campus;Churchill;26
2016;270;Kurnai College University Campus;Churchill;N/A
2016;271;Kurunjang Secondary College;Melton;24
2016;272;Kyabram Secondary College;Kyabram;26
2016;273;Kyneton High School;Kyneton;27
2016;274;Lac Hong Vietnamese School Footscray;Footscray;N/A
2016;275;Lac Hong Vietnamese School St Albans;St Albans;N/A
2016;276;Lakes Entrance Secondary College;Lakes Entrance;24
2016;277;Lakeside Lutheran College;Pakenham;25
2016;278;Lakeview Senior College;Caroline Springs;29
2016;279;Lalor North Secondary College;Epping;25
2016;280;Lalor Secondary College;Lalor;30
2016;281;Lara Secondary College;Lara;26
2016;282;Lauriston Girls School;Armadale;36
2016;283;Lavalla Catholic College;Traralgon;28
2016;284;Lavers Hill K-12 College;Lavers Hill;26
2016;285;Laverton P-12 College;Laverton;23
2016;286;Leibler Yavneh College;Elsternwick;36
2016;287;Leongatha Secondary College;Leongatha;26
2016;288;Lighthouse Christian College;Keysborough;30
2016;289;Lighthouse Christian College Cranbourne;Cranbourne;26
2016;290;Lilydale Heights College;Lilydale;24
2016;291;Lilydale High School;Lilydale;27
2016;292;Little Yarra Steiner School;Yarra Junction;0
2016;293;Loreto College;Ballarat;32
2016;294;Loreto Mandeville Hall;Toorak;36
2016;295;Lorne-Aireys Inlet P-12 College;Lorne;29
2016;296;Lowanna College;Newborough;25
2016;297;Lowther Hall Anglican Grammar School;Essendon;35
2016;298;Loyola College;Watsonia;31
2016;299;Luther College;Croydon Hills;33
2016;300;Lynall Hall Community School;Richmond;19
2016;301;Lyndale Secondary College;Dandenong North;26
2016;302;Lyndhurst Secondary College;Cranbourne;26
2016;303;MacKillop Catholic Regional College;Werribee;30
2016;304;Macleod College;Macleod;26
2016;305;Macrobertson Girls High School;Melbourne;38
2016;306;Maffra Secondary College;Maffra;27
2016;307;Mallacoota P-12 College;Mallacoota;28
2016;308;Malvern Russian Community School;Malvern East;N/A
2016;309;Manangatang P-12 College;Manangatang;26
2016;310;Manor Lakes P-12 College;Wyndham Vale;23
2016;311;Mansfield Secondary College;Mansfield;28
2016;312;Maranatha Christian School;Endeavour Hills;30
2016;313;Marcellin College;Bulleen;31
2016;314;Marian College Ararat;Ararat;28
2016;315;Marian College Myrtleford;Myrtleford;27
2016;316;Marian College Sunshine West;Sunshine West;29
2016;317;Maribyrnong Secondary College;Maribyrnong;29
2016;318;Marist Sion College;Warragul;29
2016;319;Mary MacKillop Catholic College;Leongatha;30
2016;320;Maryborough Education Centre;Maryborough;23
2016;321;Marymede Catholic College;South Morang;30
2016;322;Mater Christi College;Belgrave;31
2016;323;Matthew Flinders Girls Secondary College;Geelong;27
2016;324;Mazenod College;Mulgrave;32
2016;325;McClelland Secondary College;Frankston;27
2016;326;McGuire College;Shepparton;23
2016;327;McKinnon Secondary College;McKinnon;34
2016;328;Melba Secondary College;Croydon;26
2016;329;Melbourne Baptist Chinese School;Kew East;N/A
2016;330;Melbourne City Mission;South Melbourne;0
2016;331;Melbourne Girls College;Richmond;34
2016;332;Melbourne Girls Grammar;South Yarra;36
2016;333;Melbourne Grammar School;Melbourne;34
2016;334;Melbourne High School;South Yarra;37
2016;335;Melbourne International School of Japanese;Oakleigh South;N/A
2016;336;Melbourne Polytechnic;Preston;0
2016;337;Melbourne Rudolf Steiner School;Warranwood;32
2016;338;Melbourne Swedish Community School Association;Toorak;N/A
2016;339;Melton Christian College;Brookfield;30
2016;340;Melton Secondary College;Melton;26
2016;341;Mentone Girls Grammar School;Mentone;35
2016;342;Mentone Girls Secondary College;Mentone;31
2016;343;Mentone Grammar School;Mentone;34
2016;344;Mercy College;Coburg;28
2016;345;Mercy Regional College;Camperdown;27
2016;346;Merinda Park Learning Centre;Cranbourne North;0
2016;347;Methodist Ladies College;Kew;34
2016;348;Michelle Rae School of Dance;Mount Waverley;N/A
2016;349;Mildura Senior College;Mildura;28
2016;350;Mill Park Secondary College;Epping;25
2016;351;Minaret College Officer;Officer;27
2016;352;Minaret College Springvale;Springvale;27
2016;353;Ministry of Dance;North Melbourne;N/A
2016;354;Mirboo North Secondary College;Mirboo North;30
2016;355;Monbulk College;Monbulk;28
2016;356;Monivae College;Hamilton;30
2016;357;Monterey Secondary College;Frankston North;24
2016;358;Montmorency Secondary College;Montmorency;30
2016;359;Mooroolbark College;Mooroolbark;28
2016;360;Mooroopna Secondary College;Mooroopna;24
2016;361;Mordialloc College;Mordialloc;27
2016;362;Mornington Secondary College;Mornington;27
2016;363;Mortlake College;Mortlake;35
2016;364;Mount Alexander 7-12 College;Flemington;23
2016;365;Mount Beauty Secondary College;Mount Beauty;31
2016;366;Mount Clear College;Mount Clear;25
2016;367;Mount Eliza Secondary College;Mount Eliza;30
2016;368;Mount Erin College;Frankston South;28
2016;369;Mount Evelyn Christian School;Mount Evelyn;29
2016;370;Mount Hira College;Keysborough;29
2016;371;Mount Lilydale Mercy College;Lilydale;30
2016;372;Mount Ridley P-12 College;Craigieburn;24
2016;373;Mount Rowan Secondary College;Wendouree;27
2016;374;Mount Scopus Memorial College;Burwood;37
2016;375;Mount St Joseph Girls College;Altona;30
2016;376;Mount Waverley Secondary College;Mount Waverley;31
2016;377;Mountain District Christian School;Monbulk;28
2016;378;Mountain District Learning Centre;Ferntree Gully;25
2016;379;Mullauna College;Mitcham;31
2016;380;Murrayville Community College;Murrayville;32
2016;381;Murtoa P-12 College;Murtoa;29
2016;382;Myrtleford P-12 College;Myrtleford;28
2016;383;Nagle College;Bairnsdale;27
2016;384;Narre Community Learning Centre;Narre Warren;0
2016;385;Narre Warren South P-12 College;Narre Warren South;30
2016;386;Nathalia Secondary College;Nathalia;23
2016;387;National Theatre Ballet School;St Kilda;N/A
2016;388;Nazareth College;Noble Park North;31
2016;389;Neerim District Secondary College;Neerim South;24
2016;390;Nestor Greek College Brunswick;Brunswick;N/A
2016;391;New Century Chinese Language School;Burwood East;N/A
2016;392;New Chinese Language and Culture School Box Hill;Box Hill;N/A
2016;393;Newcomb Secondary College;Newcomb;25
2016;394;Newhaven College;Rhyll;30
2016;395;Nhill College;Nhill;30
2016;396;Noble Park Secondary College;Noble Park;25
2016;397;North Geelong Secondary College;Geelong North;25
2016;398;Northcote High School;Northcote;31
2016;399;Northern Bay P-12 College;Corio;22
2016;400;Northern College of Arts and Technology;Preston;26
2016;401;Northside Christian College;Bundoora;27
2016;402;Norwood Secondary College;Ringwood;29
2016;403;Nossal High School;Berwick;35
2016;404;Notre Dame College;Shepparton;29
2016;405;Numurkah Secondary College;Numurkah;26
2016;406;Nunawading Christian College;Nunawading;32
2016;407;Oakleigh Grammar;Oakleigh;30
2016;408;Oakwood School;Caulfield North;25
2016;409;Oberon High School;Armstrong Creek;29
2016;410;Orbost Secondary College;Orbost;24
2016;411;Our Lady of Mercy College;Heidelberg;33
2016;412;Our Lady of Sacred Heart College;Bentleigh;31
2016;413;Our Lady of Sion College;Box Hill;33
2016;414;Ouyen Secondary College;Ouyen;31
2016;415;Overnewton Anglican College;Keilor;30
2016;416;Oxley Christian College;Chirnside Park;32
